"id","artist","title","alt_text","description","date_created","date_acquired_or_updated","institution","medium","mediums_parsed","image_url"
"W43","5","Nasturtiums (TAM.1557)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjU0NTE0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=aa082dfa9d60e589"
"W44","5","Chair (TAM.1558)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=52094cba93ecdca9"
"W45","5","Chair (TAM.1558-II)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e21da7ebc20869b2"
"W46","5","Hudson (TAM.1565)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3e3c8866fe9a594c"
"W47","5","Bud (TAM.1566)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=43c1691d9dc7b098"
"W48","5","Fritz and Larry (TAM.1567)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e8cdf2559f3935a0"
"W49","5","Henry and Adam (TAM.1568)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f6e4078551c24512"
"W50","5","Paul (TAM.1569, Paul Lanier with Homemade Puppets)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8ee6ac9c2a54b672"
"W51","5","Xavier (TAM.1570)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5d5b4353fa246407"
"W52","5","Title page (TAM.1571, from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f97fd1ead85e9b19"
"W53","5","Flowers","","","1965","1/10/1974","0","Portfolio of 12 lithographs (including title page and colophon) | Portfolio | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f97fd1ead85e9b19"
"W54","5","Untitled (TAM.1561, Hydrangea Blue from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7d7e7f454ca60788"
"W55","5","Untitled (TAM.1562, Iris Blue from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=81752ee8ce6c38f2"
"W56","5","Colophon (TAM.1572 from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e58ef4fb3add4343"
"W57","5","Untitled (TAM.1480, Succulent from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=40b59776553fdb1b"
"W58","5","Untitled (TAM.1481, Succulent from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9f2ac9ec86367a91"
"W59","5","Untitled (TAM.1483, Marigolds from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0a91f05cf5c7b3fe"
"W60","5","Untitled (TAM.1492, Iris from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c6275961e935afab"
"W61","5","Untitled (TAM.1493, Hydrangea from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4ee86a017e9bb56b"
"W62","5","Untitled (TAM.1535, Hydrangea from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a6a3fdfb98f35d29"
"W63","5","Untitled (TAM.1559, Poppy Maroon from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5b8812fc0d12bd7e"
"W64","5","Untitled (TAM.1560, Desert Plant from the portfolio Flowers)","","","1965","1/10/1974","0","One from a portfolio of twelve lithographs (including title page and colophon) | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8be666e4ef2c77fb"
"W65","5","Untitled (BMC.145, BMC Laundry Stamp)","","","c. 1948–49","5/23/2018","0","Stamped ink on fabric sheeting | Drawing | Drawings & Prints","[""M03""]","https://www.moma.org/media/W1siZiIsIjU0OTc4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=aadd69b8f738c0e1"
